offer_id,source,url,title,price_amount,price_currency,price_per_m2,area_m2,rooms,city,district,street,lat,lon,posted_at,updated_at
mzn2046479719,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-35m2-mzn2046479719,Mieszkanie na sprzedaż - 35 m² - 2 pokoje Brzeźno Gdańsk,607563.0,PLN,17100.0,35.53,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
mzn2045452388,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-34m2-mzn2045452388,Mieszkanie na sprzedaż - 34 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,632268.0,PLN,18200.0,34.74,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2046506240,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-orunia-sw-wojciech-lipce-zlota-52m2-mzn2046506240,DNI OTWARTE 07.11 | NOWOCZEŚNIE | KOMFORTOWO,649000.0,PLN,12386.0,52.4,3.0,Gdansk,Orunia,Sw,54.3732816,18.6006758,,
mzn2045452389,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-35m2-mzn2045452389,Mieszkanie na sprzedaż - 35 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,649922.0,PLN,18200.0,35.71,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2045452398,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-35m2-mzn2045452398,Mieszkanie na sprzedaż - 35 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,653493.0,PLN,18300.0,35.71,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2045452384,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452384,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,657150.0,PLN,16250.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2045452395,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452395,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,660790.0,PLN,16340.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2045452304,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452304,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,663216.0,PLN,16400.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
mzn2046479759,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-brzezno-uczniowska-39m2-mzn2046479759,Mieszkanie na sprzedaż - 39 m² - 2 pokoje Brzeźno Gdańsk,667080.0,PLN,17000.0,39.24,2.0,Gdansk,Brzezno,Uczniowska,54.4045806,18.63265165,,
mzn2045452413,morizon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-gdansk-bretowo-lesna-gora-40m2-mzn2045452413,Mieszkanie na sprzedaż - 40 m² - 2 pokoje Niedźwiednik Gdańsk Brętowo,667260.0,PLN,16500.0,42.0,2.0,Gdansk,Bretowo,Lesna,54.4081817,18.556678,,
